racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,1st,,Sir Les Patterson,2,"Thorne, Stephen",5,"Kearney, J",3,137,1.38,(Fav),99,1 mins 13.27s,73.27,,84,6,1,All Weather,0,0,3,0,1320,0,Handicap,"held up towards rear, headway travelling well out, pushed along and led over 1f out, nudged out inside final furlong, kept on well, eased close home, comfortably",1,None,Left Handed,,86,14,Zoustar (AUS),Polytrack,11681,Gelding,Evil Spell,Dutch Art,99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,2nd,1.75,City House (IRE),8,"McGuinness, Adrian",5,"Whelan, R P",0,137,40,,96,1 mins 13.27s,73.27,1.75,84,6,2,All Weather,0,0,3,0,1320,0,Handicap,"in rear, pushed along 2f out, soon switched left and headway on far side, 4th over 1f out, ridden and no impression inside final furlong, 2nd final 100 yards, kept on same pace",2,None,Left Handed, TT,14,16,Night Of Thunder (IRE),Polytrack,3894,Gelding,Impala,Oasis Dream,99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,3rd,NSE,Venetian (IRE),4,"Hogan, Denis Gerard",6,"Pietropaolo, J",7,113,14,,79,1 mins 13.27s,73.27,1.78,84,6,3,All Weather,0,0,3,0,1320,0,Handicap,"prominent, soon tracked leaders and took keen hold, 2nd halfway, pushed along 2f out and soon ridden, no impression in 2nd 1f out, 3rd final 100 yards, kept on one pace",9,None,Left Handed,Blnk,14,41,Awtaad (IRE),Polytrack,1947,Gelding,Venetian Beauty (USA),Lear Fan (USA),99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,4th,1.25,Alfred Tennyson (IRE),7,"Hogan, Denis Gerard",4,"Hayes, C D",0,119,125,,78,1 mins 13.27s,73.27,3.03,84,6,4,All Weather,0,0,3,0,1320,0,Handicap,"prominent, led after 1f, ridden and joined 2f out, headed over 1f out and 3rd 1f out, no extra, kept on one pace",10,None,Left Handed,CkPc,23,8,Starspangledbanner (AUS),Polytrack,973,Gelding,Call Me Katie (IRE),Kodiac,99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,5th,1.5,Collective Power (IRE),6,"Lynam, Edward",8,"Hassett, M W",3,122,14,,82,1 mins 13.27s,73.27,4.53,84,6,5,All Weather,0,0,3,0,1320,0,Handicap,"tracked leaders, took keen hold, 3rd halfway, pushed along 2f out, soon ridden and no impression, 8th 1f out, edged right inside final furlong, kept on one pace",6,None,Left Handed,,84,70,Slade Power (IRE),Polytrack,583,Gelding,Gathering Power (IRE),Kyllachy,99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,6th,0.5,Dontspoilasale (IRE),3,"Hogan, Denis Gerard",6,"Holohan, Reese",7,113,25,,79,1 mins 13.27s,73.27,5.03,84,6,6,All Weather,0,0,3,0,1320,0,Handicap,"mid-division, 6th halfway, pushed along 2f out, ridden and no impression over 1f out, no extra inside final furlong",8,None,Left Handed,Blnk,14,55,Kuroshio (AUS),Polytrack,389,Gelding,Destinys Kitten (IRE),Naaqoos,99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,7th,NK,Clonmacash,10,"McGuinness, Adrian",5,"Burns, Ms N",5,117,12,,81,1 mins 13.27s,73.27,5.18,84,6,7,All Weather,0,0,3,0,1320,0,Handicap,"tracked leaders on outer, took keen hold, 5th halfway, pushed along 2f out, ridden on stands side over 1f out, no impression",7,None,Left Handed,Vsor,14,45,Charming Thought,Polytrack,0,Gelding,Orientate,Equiano (FR),99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,8th,SH,Apache Outlaw (IRE),5,"McGuinness, Adrian",6,"Caffrey, Adam",0,133,4.5,,92,1 mins 13.27s,73.27,5.23,84,6,8,All Weather,0,0,3,0,1320,0,Handicap,"towards rear, pushed along and some headway 2f out, ridden in 7th 1f out, no impression",4,None,Left Handed,CkPc,14,47,Churchill (IRE),Polytrack,0,Gelding,Focus Of Attention (IRE),Intense Focus (USA),99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,9th,1.25,Little Queenie (IRE),1,"Flynn, Paul W",7,"Grant, A S",7,129,8,,95,1 mins 13.27s,73.27,6.48,84,6,9,All Weather,0,0,3,0,1320,0,Handicap,"prominent, soon tracked leaders and 4th halfway, pushed along and disputed lead 2f out, headed over 1f out, weakened",3,None,Left Handed,,14,45,Camacho,Polytrack,,Mare,Chute Hall Lady (IRE),Dark Angel (IRE),99
20/02/2026,3.40.,Dundalk,Racing TV Club Day Handicap,3yo+,Irish,,6f ,11681,Standard,10,10th,NK,Prairie Girl (IRE),9,"Murphy, Daniel",4,"McGettigan, P",7,120,4,,86,1 mins 13.27s,73.27,6.63,84,6,10,All Weather,0,0,3,0,1320,0,Handicap,"mid-division, pushed along early straight, ridden and no impression over 1f out, no extra, never a factor",5,None,Left Handed,CkPc,14,9,Mehmas (IRE),Polytrack,,Filly,Zena Lady (IRE),Zebedee,99
