racedate,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,StallPositioning,TrackDirection,Headgear,dayssincelr,careerruns,stallion,surfacetype,horse_prizewin,HorseSex,dam,damstallion,MaxORinRace,
"2026-02-21","5.30.","Chelmsford City","Fegentri World Championships Amateur Jockeys Handicap","4yo+","Class 5",,"1m2f ","4222","Standard","6","1st",,"Harlington (FR)","3","Clover, Charlie","5","Kent, Mr Lewis","0","155","0.73","(Fav)","69","2 mins 10.35s","130.35",,"67.5","10","1","All Weather","0","0","2","0","2200","0","Handicap","wore red hood to post, held up towards rear, pushed along and improved into third over 2f out, stayed on to lead under 1f out, always doing enough","2","Inside","Left Handed",,"13","31","Hunters Light (IRE)","Polytrack","4222","Gelding","Log Off (IRE)","Sir Prancealot (IRE)","70",
"2026-02-21","5.30.","Chelmsford City","Fegentri World Championships Amateur Jockeys Handicap","4yo+","Class 5",,"1m2f ","4222","Standard","6","2nd","1","Tetsworth","2","Moore, Gary and Josh","4","Dunsdon, Mr D H","0","155","6.5",,"69","2 mins 10.35s","130.35","1","67.5","10","2","All Weather","0","0","2","0","2200","0","Handicap","in rear, pushed along over 2f out, ran on over 1f out, went second final 110yds, no impression on winner","3","Inside","Left Handed",,"56","7","Kameko (USA)","Polytrack","2112","Gelding","When In Doubt","Montjeu (IRE)","70",
"2026-02-21","5.30.","Chelmsford City","Fegentri World Championships Amateur Jockeys Handicap","4yo+","Class 5",,"1m2f ","4222","Standard","6","3rd","4","Alazwar (IRE)","5","Watson, Archie","8","Hampson, Brodie","0","151","7.5",,"65","2 mins 10.35s","130.35","5","67.5","10","3","All Weather","0","0","2","0","2200","0","Handicap","tracked leaders, took second 4f out, led 2f out and soon ridden, headed under 1f out, kept on same pace","5","Inside","Left Handed","CkPc","138","41","Awtaad (IRE)","Polytrack","1055","Gelding","Venetian Beauty (USA)","Lear Fan (USA)","70",
"2026-02-21","5.30.","Chelmsford City","Fegentri World Championships Amateur Jockeys Handicap","4yo+","Class 5",,"1m2f ","4222","Standard","6","4th","4.5","Gennadius","4","Hannon (Jnr), Richard","4","Perugini, Mr Giacomo","0","156","10",,"70","2 mins 10.35s","130.35","9.5","67.5","10","4","All Weather","0","0","2","0","2200","0","Handicap","close up, led after 4 furlongs, pushed along and headed 2f out, weakened 1f out","1","Inside","Left Handed","CkPc","7","16","Ulysses (IRE)","Polytrack","529","Colt","Gemina (IRE)","Holy Roman Emperor (IRE)","70",
"2026-02-21","5.30.","Chelmsford City","Fegentri World Championships Amateur Jockeys Handicap","4yo+","Class 5",,"1m2f ","4222","Standard","6","5th","0.5","Arths Gold","6","Hannon (Jnr), Richard","4","Sainz, Mr A","0","150","10",,"64","2 mins 10.35s","130.35","10","67.5","10","5","All Weather","0","0","2","0","2200","0","Handicap","led, headed after 4 furlongs, remained handy, outpaced 4f out, pushed along and rallied briefly 2f out, ridden and dropped away tamely over 1f out","6","Inside","Left Handed","CkPc","36","8","Havana Gold (IRE)","Polytrack","264","Colt","Break Time","Dansili","70",
"2026-02-21","5.30.","Chelmsford City","Fegentri World Championships Amateur Jockeys Handicap","4yo+","Class 5",,"1m2f ","4222","Standard","6","6th","12","Annexation (FR)","1","Carroll, A W","10","Roussety, Mr Kenny","0","152","8.5",,"66","2 mins 10.35s","130.35","22","67.5","10","6","All Weather","0","0","2","0","2200","0","Handicap","raced keenly, chased leaders, lost place 4f out, towards rear, lost touch well over 1f out","4","Inside","Left Handed",,"13","65","Wootton Bassett","Polytrack","0","Gelding","Scarlet Sonnet (IRE)","Invincible Spirit (IRE)","70",
"2026-02-21","6.00.","Chelmsford City","For The Love Of Horses Handicap","4yo+","Class 6",,"5f ","3664","Standard","8","1st",,"Spendmore Lane","7","Loughnane, David","4","Pyle, William","3","123","3",,"56","0 mins 59.15s","59.15",,"58.5","5","1","All Weather","0","0","3","0","1100","0","Handicap","led to post early, tracked leaders, shaken up to lead 1f out, ran on","7","Inside","Left Handed"," Eye","4","15","Mayson","Polytrack","3664","Filly","Capesthorne (IRE)","Oasis Dream","65",
"2026-02-21","6.00.","Chelmsford City","For The Love Of Horses Handicap","4yo+","Class 6",,"5f ","3664","Standard","8","2nd","1.5","Buraback (IRE)","4","Shaw, D","7","Callan, Mr Jack","5","119","5.5",,"54","0 mins 59.15s","59.15","1.5","58.5","5","2","All Weather","0","0","3","0","1100","0","Handicap","wore red hood early to post, midfield, asked for effort over 1f out, stayed on into second final furlong, no match for winner","8","Inside","Left Handed",,"25","64","Buratino (IRE)","Polytrack","1719","Gelding","Gailes First (IRE)","Vale Of York (IRE)","65",
"2026-02-21","6.00.","Chelmsford City","For The Love Of Horses Handicap","4yo+","Class 6",,"5f ","3664","Standard","8","3rd","1","Cabeza De Llave","5","Attwater, M J","7","Glennon, James","7","123","25",,"60","0 mins 59.15s","59.15","2.5","58.5","5","3","All Weather","0","0","3","0","1100","0","Handicap","held up in touch, pushed along over 1f out, stayed on final furlong, went third final strides","3","Inside","Left Handed",,"135","45","Pearl Secret","Polytrack","859","Gelding","Speed Princess (IRE)","Fast Company (IRE)","65",
"2026-02-21","6.00.","Chelmsford City","For The Love Of Horses Handicap","4yo+","Class 6",,"5f ","3664","Standard","8","4th","NK","Hello Luna (FR)","9","Portman, J G","4","Leavy, Mr Joe","0","133","14",,"63","0 mins 59.15s","59.15","2.65","58.5","5","4","All Weather","0","0","3","0","1100","0","Handicap","mounted in the chute and wore red hood to post, prominent, shaken up over 1f out, faded final furlong","2","Inside","Left Handed","Vsor","23","11","Hello Youmzain (FR)","Polytrack","430","Filly","Malakeh","Harbour Watch (IRE)","65",
