meetingDate,courseName,raceNumber,raceTime,distanceYards,distance,distanceNominal,going,raceClass,numberOfRunners,horseName,horseAge,weightCarried,finishingTime,distanceCumulative,draw,odds,race_name,officialRating,medianOR,maxOR,positionOfficial,raceSurfaceName,horseGender,dist_round,race_id,meeting_id,std_key,month,going_allowance,raw_figure,standard_time,est_time,weight_adj,wfa_adj,figure_final,sex_allowance,figure_calibrated
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Warning Symbol (IRE),3,127,98.83,,1,1.5,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),71,71.5,74,1.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,199.31586806843748,106.6515817144024,98.83,1.0,14.0,213.31586806843748,0,68.6
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Sudbury Hill (IRE),3,135,98.83,0.15,2,5.5,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),74,71.5,74,2.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,206.89723377857726,106.6515817144024,98.86,9.0,14.0,220.89723377857726,0,75.3
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Silver State (IRE),3,129,98.83,1.4,4,2.0,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),73,71.5,74,3.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,197.40861469640885,106.6515817144024,99.11,3.0,14.0,211.40861469640885,0,66.9
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Maria Da Silva (IRE),3,132,98.83,4.15,6,11.0,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),71,71.5,74,4.0,All Weather,f,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,192.7336527156383,106.6515817144024,99.66,6.0,14.0,206.7336527156383,5,62.7
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Port Darwin (IRE),3,128,98.83,6.65,5,22.0,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),67,71.5,74,5.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,181.75641455130145,106.6515817144024,100.16,2.0,14.0,195.75641455130145,0,53.0
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Quick Turn (FR),3,115,98.83,8.9,7,33.0,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),59,71.5,74,6.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,162.4769002033983,106.6515817144024,100.61,-11.0,14.0,176.4769002033983,0,35.9
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Dryburgh (IRE),3,134,98.83,14.4,3,11.0,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),73,71.5,74,7.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,166.12697624185722,106.6515817144024,101.71,8.0,14.0,180.12697624185722,0,39.1
2026-02-18,KEMPTON PARK,1,5.30.,1760,8.0,8.0,Standard To Slow,5.0,8,Loma Express (IRE),3,130,98.83,29.4,8,33.0,Bet 20 Get 20 With Unibet Handicap (Rider Restricted Race),72,71.5,74,8.0,All Weather,f,8.0,2026-02-18_KEMPTON PARK_1,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,120.2635472558361,106.6515817144024,104.71,4.0,14.0,134.2635472558361,5,-1.6
2026-02-18,KEMPTON PARK,2,6.00.,1760,8.0,8.0,Standard To Slow,5.0,11,Zoffandia (IRE),5,127,96.45,,4,2.5,Try Unibets New Smartview Racecards Handicap (Rider Restricted Race),72,71.0,75,1.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_2,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,232.52752173068083,106.6515817144024,96.45,1.0,0.0,232.52752173068083,0,85.6
2026-02-18,KEMPTON PARK,2,6.00.,1760,8.0,8.0,Standard To Slow,5.0,11,Baloos Blues,4,116,96.45,4.5,6,10.0,Try Unibets New Smartview Racecards Handicap (Rider Restricted Race),63,71.0,75,2.0,All Weather,g,8.0,2026-02-18_KEMPTON PARK_2,2026-02-18_KEMPTON PARK_All Weather,KEMPTON PARK_8.0_All Weather,2,-0.09701375174254956,208.96849303487448,106.6515817144024,97.35000000000001,-10.0,0.0,208.96849303487448,0,64.7
