meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,corrected_time,deviation_seconds,deviation_lengths,deviation_lbs,winner_figure,lbs_behind,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final,figure_comment
2026-03-17,FON,1,2026-03-17_FON_1,SCARFACE,1.0000,5.9652,Souple,Turf,3,8,124.5610,68.5400,0.0000,68.7628,3.5133,0.1750,67.4964,-1.2665,-6.3323,-22.2469,122.2469,0.0000,122.2469,-1.4390,120.8080,0.0000,120.8080,92.5871,92.5871,
2026-03-17,FON,1,2026-03-17_FON_1,PROFUMO DI IENA,2.0000,5.9652,Souple,Turf,3,4,133.3795,,1.7500,68.7628,3.5133,0.1750,,,,,122.2469,6.1482,116.0987,7.3795,123.4782,0.0000,123.4782,94.4887,94.4887,
2026-03-17,FON,1,2026-03-17_FON_1,CIAO PA',3.0000,5.9652,Souple,Turf,3,6,132.2772,,1.9000,68.7628,3.5133,0.1750,,,,,122.2469,6.6752,115.5717,6.2772,121.8489,0.0000,121.8489,93.3284,93.3284,
2026-03-17,FON,1,2026-03-17_FON_1,MISTER CHANG,4.0000,5.9652,Souple,Turf,3,4,130.0726,,2.4000,68.7628,3.5133,0.1750,,,,,122.2469,8.4318,113.8151,4.0726,117.8877,0.0000,117.8877,90.5074,90.5074,
2026-03-17,FON,1,2026-03-17_FON_1,SIMPLY LOVELY,5.0000,5.9652,Souple,Turf,3,8,122.3564,,3.6500,68.7628,3.5133,0.1750,,,,,122.2469,12.8234,109.4235,-3.6436,105.7799,0.0000,105.7799,81.8850,81.8850,
2026-03-17,FON,1,2026-03-17_FON_1,ALPARSLAN,6.0000,5.9652,Souple,Turf,3,4,131.1749,,4.4000,68.7628,3.5133,0.1750,,,,,122.2469,15.4584,106.7886,5.1749,111.9635,0.0000,111.9635,86.2885,86.2885,
2026-03-17,FON,1,2026-03-17_FON_1,BID FOR CHESTER,7.0000,5.9652,Souple,Turf,3,5,127.8680,,4.9000,68.7628,3.5133,0.1750,,,,,122.2469,17.2150,105.0319,1.8680,106.8999,0.0000,106.8999,82.6825,82.6825,
2026-03-17,FON,1,2026-03-17_FON_1,IMPITOYABLE,8.0000,5.9652,Souple,Turf,3,7,119.0495,,5.9000,68.7628,3.5133,0.1750,,,,,122.2469,20.7283,101.5187,-6.9505,94.5681,0.0000,94.5681,73.9006,73.9006,
2026-03-17,FON,1,2026-03-17_FON_1,PRADARO,9.0000,5.9652,Souple,Turf,3,11,123.4587,,6.1500,68.7628,3.5133,0.1750,,,,,122.2469,21.6066,100.6403,-2.5413,98.0991,0.0000,98.0991,76.4151,76.4151,
2026-03-17,FON,1,2026-03-17_FON_1,ROYALWOOD,10.0000,5.9652,Souple,Turf,3,6,121.2541,,6.3000,68.7628,3.5133,0.1750,,,,,122.2469,22.1336,100.1134,-4.7459,95.3675,0.0000,95.3675,74.4698,74.4698,
2026-03-17,FON,1,2026-03-17_FON_1,BEAU GARS,11.0000,5.9652,Souple,Turf,3,4,124.5610,,9.3000,68.7628,3.5133,0.1750,,,,,122.2469,32.6734,89.5736,-1.4390,88.1346,0.0000,88.1346,69.3190,69.3190,
2026-03-17,FON,1,2026-03-17_FON_1,REGALIEN,12.0000,5.9652,Souple,Turf,3,7,128.9703,,9.5500,68.7628,3.5133,0.1750,,,,,122.2469,33.5517,88.6952,2.9703,91.6655,0.0000,91.6655,71.8335,71.8335,
2026-03-17,FON,1,2026-03-17_FON_1,GALLIUS,13.0000,5.9652,Souple,Turf,3,4,123.4587,,12.5500,68.7628,3.5133,0.1750,,,,,122.2469,44.0915,78.1555,-2.5413,75.6142,0.0000,75.6142,60.4026,60.4026,
2026-03-17,FON,1,2026-03-17_FON_1,BONJOUR CA VA,14.0000,5.9652,Souple,Turf,3,4,123.4587,,13.8000,68.7628,3.5133,0.1750,,,,,122.2469,48.4831,73.7639,-2.5413,71.2226,0.0000,71.2226,57.2752,57.2752,
2026-03-17,FON,1,2026-03-17_FON_1,LOVER SONG,15.0000,5.9652,Souple,Turf,3,4,122.3564,,20.8000,68.7628,3.5133,0.1750,,,,,122.2469,69.2120,53.0349,-3.6436,49.3913,0.0000,49.3913,,,
2026-03-17,FON,2,2026-03-17_FON_2,HOLLIE WOOD,1.0000,5.9652,Souple,Turf,5,3,126.7656,70.0500,0.0000,68.7628,3.4375,0.1750,69.0064,0.2435,1.2177,4.1860,95.8140,0.0000,95.8140,0.7656,96.5796,4.0697,100.6493,78.2312,78.2312,
2026-03-17,FON,2,2026-03-17_FON_2,TINMANDER,2.0000,5.9652,Souple,Turf,5,3,130.0726,,0.1500,68.7628,3.4375,0.1750,,,,,95.8140,0.5156,95.2984,4.0726,99.3709,4.0697,103.4406,80.2191,80.2191,
2026-03-17,FON,2,2026-03-17_FON_2,MISTY CITY,3.0000,5.9652,Souple,Turf,5,3,124.5610,,0.2000,68.7628,3.4375,0.1750,,,,,95.8140,0.6875,95.1265,-1.4390,93.6875,4.0697,97.7572,76.1716,76.1716,
2026-03-17,FON,2,2026-03-17_FON_2,ZENADIA,4.0000,5.9652,Souple,Turf,5,3,123.4587,,1.4500,68.7628,3.4375,0.1750,,,,,95.8140,4.9844,90.8296,-2.5413,88.2883,4.0697,92.3580,72.3266,72.3266,
2026-03-17,FON,2,2026-03-17_FON_2,GO KEN GO,5.0000,5.9652,Souple,Turf,5,3,130.0726,,2.7000,68.7628,3.4375,0.1750,,,,,95.8140,9.2813,86.5327,4.0726,90.6052,4.0697,94.6749,73.9766,73.9766,
2026-03-17,FON,2,2026-03-17_FON_2,WITHOUT NEWS,6.0000,5.9652,Souple,Turf,5,3,116.8449,,2.8500,68.7628,3.4375,0.1750,,,,,95.8140,9.7970,86.0170,-9.1551,76.8619,4.0697,80.9316,64.1894,64.1894,
2026-03-17,FON,2,2026-03-17_FON_2,VIDA ROSA,7.0000,5.9652,Souple,Turf,5,3,116.8449,,3.6000,68.7628,3.4375,0.1750,,,,,95.8140,12.3751,83.4389,-9.1551,74.2837,4.0697,78.3534,62.3534,62.3534,
2026-03-17,FON,3,2026-03-17_FON_3,IPSO FACTO,1.0000,6.9594,Souple,Turf,5,4,127.8680,88.6200,0.0000,88.0440,2.7616,0.1750,87.4025,-0.6416,-3.2079,-8.8589,108.8589,0.0000,108.8589,1.8680,110.7269,0.0000,110.7269,85.4079,85.4079,
2026-03-17,FON,3,2026-03-17_FON_3,MAKAROV,2.0000,6.9594,Souple,Turf,5,4,127.8680,,1.5000,88.0440,2.7616,0.1750,,,,,108.8589,4.1424,104.7165,1.8680,106.5844,0.0000,106.5844,82.4579,82.4579,
2026-03-17,FON,3,2026-03-17_FON_3,PENNSYLVANIA,3.0000,6.9594,Souple,Turf,5,4,124.5610,,1.6000,88.0440,2.7616,0.1750,,,,,108.8589,4.4186,104.4403,-1.4390,103.0013,0.0000,103.0013,79.9062,79.9062,
2026-03-17,FON,3,2026-03-17_FON_3,CALA ROSSA,4.0000,6.9594,Souple,Turf,5,4,124.5610,,4.1000,88.0440,2.7616,0.1750,,,,,108.8589,11.3227,97.5362,-1.4390,96.0972,0.0000,96.0972,74.9895,74.9895,
2026-03-17,FON,3,2026-03-17_FON_3,LE TOLIER,5.0000,6.9594,Souple,Turf,5,4,127.8680,,4.2000,88.0440,2.7616,0.1750,,,,,108.8589,11.5988,97.2601,1.8680,99.1280,0.0000,99.1280,77.1479,77.1479,
2026-03-17,FON,3,2026-03-17_FON_3,LIGHTNING RAID,6.0000,6.9594,Souple,Turf,5,4,123.4587,,5.9500,88.0440,2.7616,0.1750,,,,,108.8589,16.4317,92.4272,-2.5413,89.8859,0.0000,89.8859,70.5662,70.5662,
2026-03-17,FON,3,2026-03-17_FON_3,DANZICA GIRL,7.0000,6.9594,Souple,Turf,5,4,124.5610,,7.2000,88.0440,2.7616,0.1750,,,,,108.8589,19.8837,88.9752,-1.4390,87.5362,0.0000,87.5362,68.8928,68.8928,
2026-03-17,FON,3,2026-03-17_FON_3,MARSIHO,8.0000,6.9594,Souple,Turf,5,4,127.8680,,9.2000,88.0440,2.7616,0.1750,,,,,108.8589,25.4070,83.4519,1.8680,85.3199,0.0000,85.3199,67.3145,67.3145,
