meetingDate,courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,corrected_time,deviation_seconds,deviation_lengths,deviation_lbs,winner_figure,bl_effective,lbs_behind,raw_figure,weight_adj,figure_after_weight,wfa_adj,figure_after_wfa,figure_calibrated,figure_final,figure_comment
2026-03-21,GPD,7,2026-03-21_GPD_7,NAVAJO WARRIOR,1.0000,1700,PSF RAPIDE,All Weather,6,5,121.2541,101.0900,0.0000,103.1243,2.7031,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,7,2026-03-21_GPD_7,GOSGER,2.0000,1700,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,103.1243,2.7031,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,7,2026-03-21_GPD_7,SKATE AWAY,3.0000,1700,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,103.1243,2.7031,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,7,2026-03-21_GPD_7,EXCITE,4.0000,1700,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,103.1243,2.7031,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,EQUITAS,1.0000,1600,PSF RAPIDE,All Weather,6,4,122.3564,99.7100,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,BOJACA BLESSING,2.0000,1600,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,ETAWA,3.0000,1600,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,VAZHI,4.0000,1600,PSF RAPIDE,All Weather,6,5,122.3564,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,LADY CHA CHA,5.0000,1600,PSF RAPIDE,All Weather,6,5,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,LA CANTERA,6.0000,1600,PSF RAPIDE,All Weather,6,4,122.3564,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,PRETTY LAVISH,7.0000,1600,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,COSTA AMALFITANA,8.0000,1600,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,BLOSSOMING ERUDITE,9.0000,1600,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,8,2026-03-21_GPD_8,LAYERED,10.0000,1600,PSF RAPIDE,All Weather,6,4,121.2541,,0.0000,97.2133,2.7107,-0.0000,,,,,,0.0000,0.0000,,-4.7459,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,PET MAT,1.0000,1400,PSF RAPIDE,All Weather,6,5,116.8449,83.3700,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-9.1551,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,BIG PARADISE,2.0000,1400,PSF RAPIDE,All Weather,6,4,122.3564,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,TO THE EASTSIDE,3.0000,1400,PSF RAPIDE,All Weather,6,5,122.3564,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,ZYDECEAUX,4.0000,1400,PSF RAPIDE,All Weather,6,6,122.3564,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,HE BE HOPPIN,5.0000,1400,PSF RAPIDE,All Weather,6,5,122.3564,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,TSHIEBWE,6.0000,1400,PSF RAPIDE,All Weather,6,6,122.3564,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,PROUD AMERICAN,7.0000,1400,PSF RAPIDE,All Weather,6,4,123.4587,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-2.5413,,0.0000,,,,no historical data to generate figures
2026-03-21,GPD,9,2026-03-21_GPD_9,SWASHBUCKLE,8.0000,1400,PSF RAPIDE,All Weather,6,8,122.3564,,0.0000,83.4514,3.2022,-0.0000,,,,,,0.0000,0.0000,,-3.6436,,0.0000,,,,no historical data to generate figures
2026-03-21,LAT,1,2026-03-21_LAT_1,OBLINSKHA,1.0000,1000,Souple,Turf,5,2,124.5610,58.6800,0.0000,56.9232,3.9627,0.0009,57.7569,0.8337,4.1685,16.5187,83.4813,0.0000,0.0000,83.4813,-1.4390,82.0423,0.0000,82.0423,53.4733,53.4733,
2026-03-21,LAT,1,2026-03-21_LAT_1,KODI GO,2.0000,1000,Souple,Turf,5,2,127.8680,,1.2500,56.9232,3.9627,0.0009,,,,,83.4813,1.2500,4.9534,78.5278,1.8680,80.3958,0.0000,80.3958,52.3353,52.3353,
2026-03-21,LAT,1,2026-03-21_LAT_1,REINE ESTHER,3.0000,1000,Souple,Turf,5,2,124.5610,,2.7500,56.9232,3.9627,0.0009,,,,,83.4813,2.7500,10.8976,72.5837,-1.4390,71.1448,0.0000,71.1448,45.9416,45.9416,
2026-03-21,LAT,1,2026-03-21_LAT_1,APPEN,4.0000,1000,Souple,Turf,5,2,124.5610,,2.9000,56.9232,3.9627,0.0009,,,,,83.4813,2.9000,11.4920,71.9893,-1.4390,70.5503,0.0000,70.5503,45.5308,45.5308,
2026-03-21,LAT,1,2026-03-21_LAT_1,ORANGETTE,5.0000,1000,Souple,Turf,5,2,124.5610,,5.4000,56.9232,3.9627,0.0009,,,,,83.4813,5.4000,21.3988,62.0824,-1.4390,60.6435,0.0000,60.6435,38.6839,38.6839,
2026-03-21,LAT,1,2026-03-21_LAT_1,GYPSEA,6.0000,1000,Souple,Turf,5,2,124.5610,,5.5000,56.9232,3.9627,0.0009,,,,,83.4813,5.5000,21.7951,61.6862,-1.4390,60.2472,0.0000,60.2472,38.4100,38.4100,
2026-03-21,LAT,1,2026-03-21_LAT_1,LAMEGO,7.0000,1000,Souple,Turf,5,2,127.8680,,7.5000,56.9232,3.9627,0.0009,,,,,83.4813,7.5000,29.7206,53.7607,1.8680,55.6286,0.0000,55.6286,35.2179,35.2179,
2026-03-21,LAT,1,2026-03-21_LAT_1,SUCRERIE,8.0000,1000,Souple,Turf,5,2,124.5610,,8.5000,56.9232,3.9627,0.0009,,,,,83.4813,8.5000,33.6834,49.7979,-1.4390,48.3590,0.0000,48.3590,30.1936,30.1936,
2026-03-21,LAT,2,2026-03-21_LAT_2,ANDEOL,1.0000,1600,Souple,Turf,5,3,127.8680,101.2300,0.0000,100.0561,2.4273,0.0008,99.9045,-0.1515,-0.7576,-1.8388,101.8388,0.0000,0.0000,101.8388,1.8680,103.7068,0.0000,103.7068,68.4463,68.4463,
2026-03-21,LAT,2,2026-03-21_LAT_2,STORMRIDER,2.0000,1600,Souple,Turf,5,3,127.8680,,0.2500,100.0561,2.4273,0.0008,,,,,101.8388,0.2500,0.6068,101.2320,1.8680,103.1000,0.0000,103.1000,68.0270,68.0270,
2026-03-21,LAT,2,2026-03-21_LAT_2,CIAO NENE,3.0000,1600,Souple,Turf,5,3,127.8680,,0.7500,100.0561,2.4273,0.0008,,,,,101.8388,0.7500,1.8204,100.0184,1.8680,101.8864,0.0000,101.8864,67.1882,67.1882,
2026-03-21,LAT,2,2026-03-21_LAT_2,SOLIKHIEV,4.0000,1600,Souple,Turf,5,3,127.8680,,3.7500,100.0561,2.4273,0.0008,,,,,101.8388,3.7500,9.1022,92.7366,1.8680,94.6046,0.0000,94.6046,62.1555,62.1555,
2026-03-21,LAT,2,2026-03-21_LAT_2,WOOD ROSE,5.0000,1600,Souple,Turf,5,3,127.8680,,9.7500,100.0561,2.4273,0.0008,,,,,101.8388,9.7500,23.6658,78.1731,1.8680,80.0410,0.0000,80.0410,52.0902,52.0902,
2026-03-21,LAT,2,2026-03-21_LAT_2,WESTMINSTER BOBCAT,6.0000,1600,Souple,Turf,5,3,123.4587,,10.7500,100.0561,2.4273,0.0008,,,,,101.8388,10.7500,26.0930,75.7458,-2.5413,73.2045,0.0000,73.2045,47.3652,47.3652,
2026-03-21,LAT,2,2026-03-21_LAT_2,CHRISJONH,7.0000,1600,Souple,Turf,5,3,127.8680,,21.7500,100.0561,2.4273,0.0008,,,,,101.8388,20.8717,50.6610,51.1779,1.8680,53.0458,0.0000,53.0458,,,
2026-03-21,LAT,2,2026-03-21_LAT_2,MALOULO,8.0000,1600,Souple,Turf,5,3,127.8680,,51.7500,100.0561,2.4273,0.0008,,,,,101.8388,35.8717,87.0698,14.7690,1.8680,16.6370,0.0000,16.6370,,,
2026-03-21,LAT,3,2026-03-21_LAT_3,PERSIS,1.0000,1600,Souple,Turf,5,3,127.8680,103.1900,0.0000,100.0561,2.3812,0.0009,101.7130,1.6570,8.2848,19.7275,80.2725,0.0000,0.0000,80.2725,1.8680,82.1405,0.0000,82.1405,53.5411,53.5411,
