track_norm,track,distance_band,band_label,going_group,n,n_fsp,fsp_par,fsp_sd,final_furlong_par,n_stride,stride_par,tier
BRIGHTON,Brighton,0,0m (~0.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,101.04,3.1976466346361683,12.68,0,,insufficient
BRIGHTON,Brighton,200,200m (~1.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,109.97,2.6979369896274457,11.82,0,,insufficient
BRIGHTON,Brighton,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,5,5,91.59,0.9376011945384902,13.16,0,,insufficient
BRIGHTON,Brighton,1000,1000m (~5.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,17,17,89.61,2.5071750325014444,13.01,0,,insufficient
BRIGHTON,Brighton,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,93.31,1.8263602236871768,12.875,0,,insufficient
BRIGHTON,Brighton,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,93.14,1.1956451592921606,13.61,0,,insufficient
BRIGHTON,Brighton,1800,1800m (~8.9f),Ran Winner Draw Age Weight Or Form Last Run Trainer,6,6,98.785,1.097269337947617,12.36,0,,insufficient
CHEPSTOW,Chepstow,1400,1400m (~7.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,7,7,95.08,1.7920937475478251,12.35,0,,insufficient
SOUTHWELL,Southwell,400,400m (~2.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,11,11,102.35,2.3896605796536057,12.49,0,,insufficient
SOUTHWELL,Southwell,1200,1200m (~6.0f),Ran Winner Draw Age Weight Or Form Last Run Trainer,18,18,96.94,3.4115237264018083,12.79,0,,insufficient
