std_key,median_time,mean_time,n_races,distance,courseName,surface
ASCOT_10.0_Turf,137.73229518886967,137.87416659065377,84,10.0,ASCOT,Turf
ASCOT_12.0_Turf,165.28257377833853,165.2826196559759,198,12.0,ASCOT,Turf
ASCOT_14.0_Turf,198.779303887755,199.22458955023032,37,14.0,ASCOT,Turf
ASCOT_16.0_Turf,227.19315885416665,227.402022435442,65,16.0,ASCOT,Turf
ASCOT_20.0_Turf,287.2865381955475,286.94899319149107,22,20.0,ASCOT,Turf
ASCOT_5.0_Turf,65.55884736990464,65.4950221686997,160,5.0,ASCOT,Turf
ASCOT_6.0_Turf,79.935391133717,79.99246483696123,219,6.0,ASCOT,Turf
ASCOT_7.0_Turf,94.8474792669605,94.92622368257133,192,7.0,ASCOT,Turf
ASCOT_8.0_Turf,109.1246936814461,109.19738340512838,285,8.0,ASCOT,Turf
AYR_10.0_Turf,139.4054052018792,139.56283508485515,223,10.0,AYR,Turf
AYR_13.0_Turf,187.72593658391995,187.50698594453158,92,13.06,AYR,Turf
AYR_15.0_Turf,215.89073367023948,216.79917077522583,25,15.0,AYR,Turf
AYR_5.0_Turf,63.97250205469392,63.91705115097296,152,5.0,AYR,Turf
AYR_5.5_Turf,70.34964079748661,70.26246283092986,16,5.5,AYR,Turf
AYR_6.0_Turf,78.01081508169439,78.03086692803127,306,6.0,AYR,Turf
AYR_7.0_Turf,98.00105223310385,98.03162390559956,293,7.23,AYR,Turf
AYR_8.0_Turf,109.04054624194583,109.14490747283439,249,8.0,AYR,Turf
AYR_9.0_Turf,125.77526509121577,125.9485556977701,16,9.09,AYR,Turf
BALLINROBE_10.0_Turf,138.4812384337689,138.35235387312218,18,9.75,BALLINROBE,Turf
BALLINROBE_13.0_Turf,188.11754480259276,189.24421323187903,49,13.0,BALLINROBE,Turf
BALLINROBE_9.5_Turf,136.0606614002112,136.80824479585107,74,9.5,BALLINROBE,Turf
BATH_10.0_Turf,140.35522526092737,140.41343309753375,217,10.21,BATH,Turf
BATH_11.5_Turf,161.58969499509635,161.69225500044718,140,11.65,BATH,Turf
BATH_13.0_Turf,185.41294991203205,185.3673938475457,72,13.1,BATH,Turf
BATH_14.0_Turf,198.5328881104389,198.65275343857866,64,14.0,BATH,Turf
BATH_17.0_Turf,247.44964143151498,248.0388833996862,33,17.15,BATH,Turf
BATH_5.0_Turf,66.7624865491035,66.77490827740807,328,5.05,BATH,Turf
BATH_5.5_Turf,76.34403684211682,76.382477765181,369,5.73,BATH,Turf
BATH_8.0_Turf,108.94063868095277,108.97234317867878,297,8.02,BATH,Turf
BELLEWSTOWN_12.0_Turf,170.86239046701215,171.05938826601087,60,12.0,BELLEWSTOWN,Turf
BELLEWSTOWN_12.5_Turf,173.61588021324567,173.31272048680518,15,12.29,BELLEWSTOWN,Turf
BELLEWSTOWN_5.0_Turf,64.395671842668,64.36136678574411,84,5.0,BELLEWSTOWN,Turf
BELLEWSTOWN_7.5_Turf,107.08556147854364,107.10885149995397,16,7.73,BELLEWSTOWN,Turf
BELLEWSTOWN_8.0_Turf,107.70655661879496,107.70258631607415,148,7.86,BELLEWSTOWN,Turf
BEVERLEY_10.0_Turf,136.05468865802266,136.1543155123881,271,9.94,BEVERLEY,Turf
BEVERLEY_12.0_Turf,170.967516415357,171.16671728082156,110,12.07,BEVERLEY,Turf
BEVERLEY_16.0_Turf,233.0056554888012,233.02872818025543,33,16.16,BEVERLEY,Turf
BEVERLEY_5.0_Turf,67.90497536438939,67.89318599961275,466,5.0,BEVERLEY,Turf
BEVERLEY_7.5_Turf,100.38369280221892,100.46266870458547,372,7.45,BEVERLEY,Turf
BEVERLEY_8.5_Turf,114.4907400755988,114.64559484698476,197,8.45,BEVERLEY,Turf
BRIGHTON_10.0_Turf,132.66219019816128,132.92505000738822,223,9.95,BRIGHTON,Turf
BRIGHTON_12.0_Turf,165.00949473374553,165.15970265128237,147,11.89,BRIGHTON,Turf
BRIGHTON_5.5_Turf,67.09123085228333,67.14530011161523,216,5.27,BRIGHTON,Turf
BRIGHTON_6.0_Turf,75.73110384451702,75.76543967175003,261,5.97,BRIGHTON,Turf
BRIGHTON_7.0_Turf,89.18396077176052,89.3345167268319,340,6.95,BRIGHTON,Turf
BRIGHTON_8.0_Turf,103.05553122004645,103.11309373988483,285,7.97,BRIGHTON,Turf
