courseName,raceNumber,race_id,horseName,positionOfficial,distance,going,raceSurfaceName,raceClass,horseAge,weightCarried,finishingTime,distanceCumulative,standard_time,lpl,going_allowance,raw_figure,weight_adj,wfa_adj,sex_allowance,figure_final,figure_calibrated,figure_confidence
ASCOT,1,2026-06-19_ASCOT_1,Libertango (IRE),1.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,,79.2645,3.5457,-0.2082,182.0629,2.0000,18.0000,3,200.0629,108.9000,high
ASCOT,1,2026-06-19_ASCOT_1,Sun Goddess (IRE),2.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,1.0000,79.2645,3.5457,-0.2082,178.5172,2.0000,18.0000,3,196.5172,105.5000,high
ASCOT,1,2026-06-19_ASCOT_1,Light Of Dawn,3.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,2.0000,79.2645,3.5457,-0.2082,174.9715,2.0000,18.0000,3,192.9715,101.8000,high
ASCOT,1,2026-06-19_ASCOT_1,Dark Issue (IRE),4.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,2.5000,79.2645,3.5457,-0.2082,173.1987,2.0000,18.0000,3,191.1987,98.5000,high
ASCOT,1,2026-06-19_ASCOT_1,Hidden Gift (IRE),5.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,5.5000,79.2645,3.5457,-0.2082,162.5616,2.0000,18.0000,3,180.5616,88.0000,high
ASCOT,1,2026-06-19_ASCOT_1,Dees Funny Girl (IRE),6.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,5.6500,79.2645,3.5457,-0.2082,162.0298,2.0000,18.0000,3,180.0298,87.4000,high
ASCOT,1,2026-06-19_ASCOT_1,Valentina Bella (FR),7.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,6.1500,79.2645,3.5457,-0.2082,160.2569,2.0000,18.0000,3,178.2569,86.8000,high
ASCOT,1,2026-06-19_ASCOT_1,Tall Trees,8.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,7.1500,79.2645,3.5457,-0.2082,156.7112,2.0000,18.0000,3,174.7112,84.5000,high
ASCOT,1,2026-06-19_ASCOT_1,Jolivette,9.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,7.6500,79.2645,3.5457,-0.2082,154.9384,2.0000,18.0000,3,172.9384,82.2000,high
ASCOT,1,2026-06-19_ASCOT_1,Acclamation Star,10.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,7.7500,79.2645,3.5457,-0.2082,154.5838,2.0000,18.0000,3,172.5838,81.9000,high
ASCOT,1,2026-06-19_ASCOT_1,Roxelina,11.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,8.5000,79.2645,3.5457,-0.2082,151.9246,2.0000,18.0000,3,169.9246,81.3000,high
ASCOT,1,2026-06-19_ASCOT_1,Desert Sands (IRE),12.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,8.6500,79.2645,3.5457,-0.2082,151.3927,2.0000,18.0000,3,169.3927,80.9000,high
ASCOT,1,2026-06-19_ASCOT_1,Glamorize (IRE),13.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,8.7500,79.2645,3.5457,-0.2082,151.0381,2.0000,18.0000,3,169.0381,80.0000,high
ASCOT,1,2026-06-19_ASCOT_1,Love Is (IRE),14.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,8.9000,79.2645,3.5457,-0.2082,150.5063,2.0000,18.0000,3,168.5063,79.0000,high
ASCOT,1,2026-06-19_ASCOT_1,Topaz (IRE),15.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,9.0500,79.2645,3.5457,-0.2082,149.9744,2.0000,18.0000,3,167.9744,78.9000,high
ASCOT,1,2026-06-19_ASCOT_1,Bated Benevolence,16.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,10.3000,79.2645,3.5457,-0.2082,145.5423,2.0000,18.0000,3,163.5423,70.5000,high
ASCOT,1,2026-06-19_ASCOT_1,Blue Sign,17.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,11.0500,79.2645,3.5457,-0.2082,142.8831,2.0000,18.0000,3,160.8831,68.9000,high
ASCOT,1,2026-06-19_ASCOT_1,Magnesium,18.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,11.1500,79.2645,3.5457,-0.2082,142.5285,2.0000,18.0000,3,160.5285,68.8000,high
ASCOT,1,2026-06-19_ASCOT_1,Crazy Cubana (IRE),19.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,11.3000,79.2645,3.5457,-0.2082,141.9966,2.0000,18.0000,3,159.9966,68.4000,high
ASCOT,1,2026-06-19_ASCOT_1,Dubai Charm (IRE),20.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,11.4500,79.2645,3.5457,-0.2082,141.4648,2.0000,18.0000,3,159.4648,67.5000,high
ASCOT,1,2026-06-19_ASCOT_1,What A Girl Wants (IRE),21.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,12.4500,79.2645,3.5457,-0.2082,137.9191,2.0000,18.0000,3,155.9191,65.8000,high
ASCOT,1,2026-06-19_ASCOT_1,Kings Prize,22.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,12.6000,79.2645,3.5457,-0.2082,137.3872,2.0000,18.0000,3,155.3872,65.6000,high
ASCOT,1,2026-06-19_ASCOT_1,Silent Beauty (IRE),23.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,13.6000,79.2645,3.5457,-0.2082,133.8415,2.0000,18.0000,3,151.8415,63.5000,high
ASCOT,1,2026-06-19_ASCOT_1,Rons Angel,24.0000,6.0000,Good To Firm,Turf,1.0000,2,128,73.1200,14.6000,79.2645,3.5457,-0.2082,130.2959,2.0000,18.0000,3,148.2959,61.4000,high
